Title,Price,Rating,Availability,Genre
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,2,In stock,Nonfiction
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,2,In stock,Religion
Danganronpa Volume 1,£51.99,4,In stock,Sequential Art
Crown of Midnight (Throne of Glass #2),£43.29,3,In stock,Fantasy
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,4,In stock,Sequential Art
Camp Midnight,£17.08,4,In stock,Sequential Art
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,5,In stock,Nonfiction
Burning,£28.81,3,In stock,Young Adult
Bossypants,£49.46,2,In stock,Default
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,2,In stock,Sequential Art
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,2,In stock,Fantasy
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,1,In stock,Nonfiction
A World of Flavor: Your Gluten Free Passport,£42.95,1,In stock,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,5,In stock,Default
A Murder in Time,£16.64,1,In stock,Mystery
A Flight of Arrows (The Pathfinders #2),£55.53,5,In stock,Historical Fiction
A Fierce and Subtle Poison,£28.13,4,In stock,Young Adult
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,1,In stock,Fantasy
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,5,In stock,Christian
You Are What You Love: The Spiritual Power of Habit,£21.87,4,In stock,Religion
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,4,In stock,Science Fiction
Tuesday Nights in 1980,£21.04,2,In stock,Fiction
Tracing Numbers on a Train,£41.60,3,In stock,Default
Throne of Glass (Throne of Glass #1),£35.07,3,In stock,Fantasy
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,1,In stock,History
Thirteen Reasons Why,£52.72,1,In stock,Default
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,4,In stock,Childrens
The Wedding Dress,£24.12,1,In stock,Romance
The Vacationers,£42.15,4,In stock,Fiction
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,5,In stock,Business
The Stranger,£17.44,4,In stock,Philosophy
The Shadow Hero (The Shadow Hero),£33.14,1,In stock,Sequential Art
The Secret (The Secret #1),£27.37,4,In stock,Default
The Regional Office Is Under Attack!,£51.36,5,In stock,Fiction
The Psychopath Test: A Journey Through the Madness Industry,£36.00,2,In stock,Default
The Project,£10.65,1,In stock,Science Fiction
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,2,In stock,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,2,In stock,Nonfiction
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,5,In stock,Food and Drink
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,4,In stock,Mystery
The Mistake (Off-Campus #2),£43.29,3,In stock,New Adult
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,1,In stock,New Adult
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,2,In stock,Food and Drink
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,1,In stock,Crime
The Kite Runner,£41.82,4,In stock,Default
The House by the Lake,£36.95,1,In stock,Historical Fiction
The Glittering Court (The Glittering Court #1),£44.28,1,In stock,Fantasy
The Girl on the Train,£55.02,2,In stock,Default
The Genius of Birds,£17.24,1,In stock,Nonfiction
The Emerald Mystery,£23.15,2,In stock,Default
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,1,In stock,Food and Drink
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,3,In stock,Default
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,5,In stock,Nonfiction
The Art of War,£33.34,5,In stock,Default
The Argonauts,£10.93,2,In stock,Autobiography
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,3,In stock,Business
Suddenly in Love (Lake Haven #1),£55.99,2,In stock,Romance
Something More Than This,£16.24,4,In stock,Romance
Soft Apocalypse,£26.12,2,In stock,Science Fiction
So You've Been Publicly Shamed,£12.23,2,In stock,Nonfiction
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,2,In stock,Business
"Shobu Samurai, Project Aryoku (#3)",£29.06,3,In stock,Add a comment
Secrets and Lace (Fatal Hearts #1),£20.27,1,In stock,Default
Scarlett Epstein Hates It Here,£43.55,5,In stock,Young Adult
Romero and Juliet: A Tragic Tale of Love and Zombies,£36.94,1,In stock,Default
Redeeming Love,£20.47,5,In stock,Christian Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,£41.06,1,In stock,Default
Poems That Make Grown Women Cry,£14.19,4,In stock,Poetry
"Nightingale, Sing",£38.28,1,In stock,Young Adult
Night Sky with Exit Wounds,£41.05,1,In stock,Poetry
Mrs. Houdini,£30.25,5,In stock,Historical Fiction
Modern Romance,£28.26,5,In stock,Add a comment
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),£10.76,1,In stock,Default
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,2,In stock,Biography
Little Red,£13.47,3,In stock,Childrens
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,5,In stock,Young Adult
Large Print Heart of the Pride,£19.15,2,In stock,Default
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,4,In stock,Womens Fiction
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,1,In stock,Fantasy
Grumbles,£22.16,2,In stock,Default
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,4,In stock,Travel
Frostbite (Vampire Academy #2),£29.99,5,In stock,Young Adult
Follow You Home,£21.36,1,In stock,Horror
First Steps for New Christians (Print Edition),£29.00,1,In stock,Default
Finders Keepers (Bill Hodges Trilogy #2),£53.53,5,In stock,Fiction
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,4,In stock,Sequential Art
Eureka Trivia 6.0,£54.59,4,In stock,Default
Drive: The Surprising Truth About What Motivates Us,£34.95,4,In stock,Default
Done Rubbed Out (Reightman & Bailey #1),£37.72,5,In stock,Default
Doing It Over (Most Likely To #1),£35.61,3,In stock,Romance
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,3,In stock,Food and Drink
Dark Notes,£19.19,5,In stock,Erotica
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",£19.43,3,In stock,Nonfiction
Close to You,£49.46,4,In stock,Christian Fiction
Chasing Heaven: What Dying Taught Me About Living,£37.80,2,In stock,Spirituality
Big Magic: Creative Living Beyond Fear,£30.80,3,In stock,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,£27.43,2,In stock,Nonfiction
Beauty Restored (Riley Family Legacy Novellas #3),£11.11,2,In stock,Default
Batman: The Long Halloween (Batman),£36.50,2,In stock,Sequential Art
Batman: The Dark Knight Returns (Batman),£15.38,5,In stock,Sequential Art
Ayumi's Violin,£15.48,2,In stock,Default
Anonymous,£46.82,4,In stock,Default
Amy Meets the Saints and Sages,£18.46,3,In stock,Default
Amid the Chaos,£36.58,1,In stock,Cultural
Amatus,£50.54,5,In stock,Default
Agnostic: A Spirited Manifesto,£12.51,5,In stock,Nonfiction
Zealot: The Life and Times of Jesus of Nazareth,£24.70,3,In stock,History
You (You #1),£43.61,5,In stock,Thriller
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",£37.34,4,In stock,Sequential Art
Wild Swans,£14.36,2,In stock,Young Adult
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,£52.65,4,In stock,Politics
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,£38.20,4,In stock,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,£19.60,2,In stock,Nonfiction
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",£53.90,1,In stock,Sequential Art
Walt Disney's Alice in Wonderland,£12.96,5,In stock,Childrens
V for Vendetta (V for Vendetta Complete),£37.10,4,In stock,Default
Until Friday Night (The Field Party #1),£46.31,2,In stock,Young Adult
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",£45.95,2,In stock,Default
Twenty Yawns,£22.08,2,In stock,Childrens
Through the Woods,£25.38,2,In stock,Sequential Art
This Is Where It Ends,£27.12,2,In stock,Young Adult
The Year of Magical Thinking,£43.04,2,In stock,Nonfiction
The Wright Brothers,£56.80,4,In stock,Default
The White Queen (The Cousins' War #1),£25.91,5,In stock,Add a comment
The Wedding Pact (The O'Malleys #2),£32.61,3,In stock,Romance
The Time Keeper,£27.88,5,In stock,Fiction
The Testament of Mary,£52.67,4,In stock,Fiction
The Star-Touched Queen,£46.02,5,In stock,Fantasy
The Songs of the Gods,£44.48,5,In stock,Default
The Song of Achilles,£37.40,5,In stock,Add a comment
The Rosie Project (Don Tillman #1),£54.04,1,In stock,Default
The Power of Habit: Why We Do What We Do in Life and Business,£16.88,3,In stock,Default
The Marriage of Opposites,£28.08,4,In stock,Historical Fiction
The Lucifer Effect: Understanding How Good People Turn Evil,£10.40,1,In stock,Psychology
The Long Haul (Diary of a Wimpy Kid #9),£44.07,1,In stock,Humor
The Loney,£23.40,1,In stock,Horror
The Literature Book (Big Ideas Simply Explained),£17.43,3,In stock,Nonfiction
The Last Mile (Amos Decker #2),£54.21,2,In stock,Mystery
The Immortal Life of Henrietta Lacks,£40.67,2,In stock,Add a comment
The Hidden Oracle (The Trials of Apollo #1),£52.26,2,In stock,Fantasy
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,3,In stock,Food and Drink
The Guilty (Will Robie #4),£13.82,2,In stock,Thriller
The First Hostage (J.B. Collins #2),£25.85,3,In stock,Fiction
The Dovekeepers,£48.78,1,In stock,Add a comment
The Darkest Lie,£35.35,5,In stock,Young Adult
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,4,In stock,Fantasy
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,£15.77,1,In stock,Nonfiction
The 14th Colony (Cotton Malone #11),£39.24,1,In stock,Thriller
That Darkness (Gardiner and Renner #1),£13.92,1,In stock,Mystery
Tastes Like Fear (DI Marnie Rome #3),£10.69,1,In stock,Mystery
Take Me with You,£45.21,3,In stock,Fiction
Swell: A Year of Waves,£45.58,1,In stock,Nonfiction
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),£11.89,5,In stock,Sequential Art
Still Life with Bread Crumbs,£26.41,3,In stock,Fiction
Steve Jobs,£39.50,5,In stock,Default
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,4,In stock,Science
Someone Like You (The Harrisons #2),£52.79,5,In stock,Contemporary
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",£35.43,4,In stock,Sequential Art
Shtum,£55.84,4,In stock,Fiction
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,3,In stock,Travel
salt.,£46.78,4,In stock,Poetry
Robin War,£47.82,3,In stock,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",£25.48,2,In stock,Sequential Art
Rain Fish,£23.57,3,In stock,Childrens
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,5,In stock,Poetry
Pet Sematary,£10.56,3,In stock,Horror
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",£52.15,3,In stock,Self Help
Once Was a Time,£18.28,2,In stock,Childrens
Old School (Diary of a Wimpy Kid #10),£11.83,5,In stock,Humor
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,£21.95,2,In stock,Nonfiction
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",£38.39,2,In stock,Sequential Art
My Name Is Lucy Barton,£41.56,1,In stock,Fiction
My Mrs. Brown,£24.48,3,In stock,Fiction
My Kind of Crazy,£40.36,1,In stock,Young Adult
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,1,In stock,Fiction
More Than Music (Chasing the Dream #1),£37.61,2,In stock,Add a comment
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,5,In stock,Business
Luis Paints the World,£53.95,3,In stock,Childrens
Luckiest Girl Alive,£49.83,3,In stock,Default
Lowriders to the Center of the Earth (Lowriders in Space #2),£51.51,2,In stock,Sequential Art
Love Is a Mix Tape (Music #1),£18.03,1,In stock,Music
Looking for Lovely: Collecting the Moments that Matter,£29.14,5,In stock,Nonfiction
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",£46.91,4,In stock,Default
Let It Out: A Journey Through Journaling,£26.79,5,In stock,Nonfiction
Lady Midnight (The Dark Artifices #1),£16.28,5,In stock,Default
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",£19.55,1,In stock,Food and Drink
Island of Dragons (Unwanteds #7),£29.65,1,In stock,Fantasy
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,£25.98,4,In stock,Humor
I Am Pilgrim (Pilgrim #1),£10.60,4,In stock,Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",£14.75,5,In stock,Humor
"Hush, Hush (Hush, Hush #1)",£47.02,3,In stock,Default
Hold Your Breath (Search and Rescue #1),£28.82,1,In stock,Romance
Hamilton: The Revolution,£58.79,3,In stock,Nonfiction
Greek Mythic History,£10.23,5,In stock,Default
God: The Most Unpleasant Character in All Fiction,£30.03,5,In stock,Religion
Glory over Everything: Beyond The Kitchen House,£45.84,3,In stock,Historical Fiction
Feathers: Displays of Brilliant Plumage,£49.05,3,In stock,Art
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",£15.06,4,In stock,Nonfiction
Every Last Word,£46.47,3,In stock,Default
Eligible (The Austen Project #4),£27.09,3,In stock,Fiction
El Deafo,£57.62,5,In stock,Sequential Art
Eight Hundred Grapes,£14.39,4,In stock,Fiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",£51.75,5,In stock,Nonfiction
"Eat Fat, Get Thin",£54.07,2,In stock,Health
Don't Get Caught,£55.35,1,In stock,Young Adult
Doctor Sleep (The Shining #2),£40.12,2,In stock,Horror
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,5,In stock,Fantasy
Dear Mr. Knightley,£11.21,5,In stock,Fiction
Daily Fantasy Sports,£36.58,1,In stock,Default
Crazy Love: Overwhelmed by a Relentless God,£47.72,2,In stock,Christian
Cometh the Hour (The Clifton Chronicles #6),£25.01,3,In stock,Fiction
Code Name Verity (Code Name Verity #1),£22.13,4,In stock,Add a comment
Clockwork Angel (The Infernal Devices #1),£44.14,1,In stock,Default
City of Glass (The Mortal Instruments #3),£56.02,4,In stock,Fantasy
City of Fallen Angels (The Mortal Instruments #4),£11.23,4,In stock,Default
City of Bones (The Mortal Instruments #1),£43.28,1,In stock,Default
City of Ashes (The Mortal Instruments #2),£47.27,1,In stock,Default
Cell,£20.29,4,In stock,Add a comment
Catching Jordan (Hundred Oaks),£50.83,3,In stock,Young Adult
"Carry On, Warrior: Thoughts on Life Unarmed",£31.85,3,In stock,Default
Carrie,£46.23,2,In stock,Default
Buying In: The Secret Dialogue Between What We Buy and Who We Are,£37.80,4,In stock,Nonfiction
Brain on Fire: My Month of Madness,£49.32,5,In stock,Nonfiction
Batman: Europa,£32.01,2,In stock,Sequential Art
Barefoot Contessa Back to Basics,£28.01,1,In stock,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,£50.62,5,In stock,Food and Drink
Balloon Animals,£17.03,3,In stock,Fiction
Art Ops Vol. 1,£48.80,3,In stock,Sequential Art
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),£58.14,4,In stock,Young Adult
Angels Walking (Angels Walking #1),£34.20,2,In stock,Add a comment
Angels & Demons (Robert Langdon #1),£51.48,3,In stock,Default
All the Light We Cannot See,£29.87,5,In stock,Historical
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",£10.90,2,In stock,Sequential Art
Abstract City,£56.37,5,In stock,Nonfiction
A Time of Torment (Charlie Parker #14),£48.35,5,In stock,Mystery
A Study in Scarlet (Sherlock Holmes #1),£16.73,2,In stock,Mystery
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48,2,In stock,Add a comment
A People's History of the United States,£40.79,2,In stock,Add a comment
A Man Called Ove,£39.72,1,In stock,Fiction
A Distant Mirror: The Calamitous 14th Century,£14.58,3,In stock,History
A Brush of Wings (Angels Walking #3),£55.51,1,In stock,Add a comment
1491: New Revelations of the Americas Before Columbus,£21.80,3,In stock,History
"The Three Searches, Meaning, and the Story",£13.33,3,In stock,Default
Searching for Meaning in Gailana,£38.73,1,In stock,Fantasy
Rook,£37.86,4,In stock,Add a comment
My Kitchen Year: 136 Recipes That Saved My Life,£11.53,2,In stock,Food and Drink
13 Hours: The Inside Account of What Really Happened In Benghazi,£27.06,1,In stock,Nonfiction
Will You Won't You Want Me?,£13.86,3,In stock,Womens Fiction
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,1,In stock,Science
The Star-Touched Queen,£32.30,5,In stock,Fantasy
The Silent Sister (Riley MacPherson #1),£46.29,5,In stock,Fiction
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20,1,In stock,Add a comment
The Lonely City: Adventures in the Art of Being Alone,£33.26,2,In stock,Nonfiction
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,£59.15,4,In stock,Add a comment
The Golden Condom: And Other Essays on Love Lost and Found,£39.43,1,In stock,Psychology
The Epidemic (The Program 0.6),£14.44,5,In stock,Young Adult
The Dinner Party,£56.54,2,In stock,Fiction
The Diary of a Young Girl,£59.90,3,In stock,Nonfiction
The Children,£11.88,3,In stock,Add a comment
Stars Above (The Lunar Chronicles #4.5),£48.05,2,In stock,Young Adult
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,£21.21,3,In stock,Nonfiction
Raspberry Pi Electronics Projects for the Evil Genius,£49.67,4,In stock,Default
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,1,In stock,Business
Psycho: Sanitarium (Psycho #1.5),£36.97,5,In stock,Horror
Poisonous (Max Revere Novels #3),£26.80,3,In stock,Mystery
One with You (Crossfire #5),£15.71,4,In stock,Add a comment
No Love Allowed (Dodge Cove #1),£54.65,4,In stock,Young Adult
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,4,In stock,Mystery
Most Wanted,£35.28,3,In stock,Mystery
